gene,SRR13587899,SRR13587900,SRR13587901,SRR13587902,SRR13587903,SRR13587904
Zm00001d050937,0.0,0.0,0.0,0.6544989999999999,0.6506689999999999,0.904626
Zm00001d050938,3.503021,3.438461,3.409351,3.020591,3.3061830000000003,3.790264
Zm00001d050942,16.796357999999998,13.080865,12.980305,11.087655999999999,13.225953,11.704044999999999
Zm00001d050943,17.090221,21.919237,19.961742,21.211697,17.724808,26.090338
Zm00001d050944,137.785736,107.694359,128.48062099999999,91.553741,104.851517,87.437668
Zm00001d050945,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050947,38.044003000000004,38.848125,39.426021999999996,50.802956,43.140404,44.966259
Zm00001d050948,7.9420660000000005,11.760525999999999,2.645052,5.0364629999999995,5.303781,4.3150010000000005
Zm00001d050950,0.0174,0.004817,0.0,0.003322,0.0,0.01644
Zm00001d050951,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050952,0.0,0.0,0.0,0.0,0.036099,0.0
Zm00001d050953,0.0,0.0,0.0,0.083091,0.06584,0.065977
Zm00001d050954,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050955,7.40027,12.426282,16.53899,0.20147400000000001,0.362292,0.342183
Zm00001d050959,0.019809999999999998,0.030525999999999998,0.0,0.23146599999999998,0.19118,0.512197
Zm00001d050960,10.035534,9.727755,9.338405999999999,11.099905999999999,9.299225999999999,10.848476
Zm00001d050961,17.80122,17.888462,20.992079,29.240004,29.556433000000002,27.799805
Zm00001d050962,0.021874,0.024875,0.01658,0.0099,0.014196,0.025171000000000002
Zm00001d050963,5.354194000000001,10.307884,6.019883999999999,14.063553,10.531725999999999,12.298267999999998
Zm00001d050964,52.884131999999994,34.816437,34.152012,35.827858,38.721534999999996,47.191334000000005
Zm00001d050965,11.271953,12.534019,13.701478,9.375411,9.809023,13.242294000000001
Zm00001d050967,16.718655,16.831251,17.54447,14.327209,9.468568,12.739462
Zm00001d050969,9.261975999999999,13.612515,8.970054,12.9455,10.497646000000001,9.216034
Zm00001d050970,76.119186,95.094978,95.244644,77.38730600000001,72.904938,75.149437
Zm00001d050971,0.023908000000000002,0.0,0.0,0.073874,0.0,0.163419
Zm00001d050972,0.068355,0.14316800000000002,0.054727,0.31993499999999997,0.11065799999999999,0.264281
Zm00001d050973,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050974,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050977,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050978,23.602976,20.071995,22.596722,24.557814,24.7279,20.522745
Zm00001d050981,19.1187,28.100882000000002,22.654678,19.260873999999998,16.554335000000002,20.056023
Zm00001d050982,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050983,0.07725900000000001,0.045505000000000004,0.0,0.294059,0.209798,0.400341
Zm00001d050984,0.0,0.0,0.0,0.087644,0.106353,0.266459
Zm00001d050985,39.520126,45.252941,45.072857,38.491528,31.759804,33.970074
Zm00001d050988,5.071903,2.8652439999999997,5.338035,10.967162,14.7648,8.475766
Zm00001d050989,0.167951,0.0,0.126332,2.8371619999999997,2.207879,3.481205
Zm00001d050990,0.06079,0.0,0.0,0.0,0.060101,0.057436
Zm00001d050991,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d050992,10.420603,8.936621,9.395214999999999,26.918523999999998,17.933193,16.527813000000002
Zm00001d050993,48.365390999999995,38.250977,39.471401,35.459835,39.988281,39.804297999999996
Zm00001d050994,0.0,0.004928,0.0,0.092849,0.061636,0.15221700000000002
Zm00001d050995,0.046058,0.0,0.0,0.093833,0.0,0.12983
Zm00001d050999,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051000,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051001,259.595398,214.90029900000002,217.353851,91.91487099999999,99.041489,130.167496
Zm00001d051004,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051005,0.101466,0.05191799999999999,0.0,0.43665600000000004,0.25156100000000003,0.23170700000000002
Zm00001d051007,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051008,0.075351,0.449305,0.174258,18.195511,19.1138,19.865337
Zm00001d051009,24.560118,30.406281,27.347164000000003,22.136791,19.41227,25.419197
Zm00001d051012,31.205477000000002,49.486214000000004,42.576846999999994,44.934139,33.547813,39.475864
Zm00001d051014,21.417856,30.372722999999997,29.426758000000003,20.790960000000002,15.895748000000001,26.412012
Zm00001d051015,21.374708,13.681472,18.466917000000002,19.077337,24.44915,16.135365
Zm00001d051016,94.129112,74.322144,83.848625,79.784233,91.31549100000001,98.365585
Zm00001d051017,30.333719,40.585976,40.333088000000004,30.553593,24.069851,33.867661
Zm00001d051018,4.807128,3.8949800000000003,4.618047,6.760653,7.526502000000001,8.217855
Zm00001d051020,17.731133,14.500515,14.361951999999999,18.566774,17.633411,17.029467
Zm00001d051021,29.765428999999997,46.482285,41.078659,45.485401,38.195004,46.960014
Zm00001d051022,1.92451,1.400842,3.342138,0.399429,0.776826,0.433958
Zm00001d051023,0.188357,0.11981900000000001,0.13578099999999999,0.36645,0.274438,0.229089
Zm00001d051025,0.0,0.009681,0.0,0.011348,3.1e-05,0.008569
Zm00001d051026,0.721729,0.630224,0.22010500000000002,0.0,0.0,0.0
Zm00001d051029,0.0,1.4000000000000001e-05,0.0,0.084326,3.1e-05,0.183752
Zm00001d051030,0.166046,0.099199,0.11509000000000001,1.049213,0.9017629999999999,0.567864
Zm00001d051031,0.0,1.4000000000000001e-05,0.0,3.8710480000000005,3.0011259999999997,4.3113470000000005
Zm00001d051033,29.187225,42.205357,39.387726,38.164982,30.406174,41.200226
Zm00001d051036,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051038,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051039,24.018175,27.750534000000002,25.28256,26.883837,16.593859,25.716854
Zm00001d051040,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051041,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051042,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051043,81.868004,83.636223,85.55210100000001,91.829269,70.039085,65.208496
Zm00001d051044,65.129593,71.893929,70.177612,58.106685999999996,51.578659,51.094002
Zm00001d051045,0.0,0.0,0.0,0.0,0.0,0.0
Zm00001d051047,28.215459999999997,24.777601,23.694103,26.30015,29.706979999999998,17.235135999999997
Zm00001d051048,0.03586,0.115702,0.033318,0.0,0.0,0.088109
Zm00001d051049,0.0,0.043465,0.0,0.074617,0.0,0.0
Zm00001d051050,0.000522,0.058491999999999995,0.02899,0.303797,0.22945100000000002,0.43673100000000004
