,gene_id,sample_id,exp_level,tissue
299,Cl044483,SRR14373612,0,leaf
300,Cl044482,SRR14373612,0,leaf
301,Cl044481,SRR14373612,0,leaf
302,Cl044480,SRR14373612,0,leaf
303,Cl044479,SRR14373612,0,leaf
304,Cl044478,SRR14373612,0,leaf
305,Cl044477,SRR14373612,0,leaf
306,Cl044476,SRR14373612,0,leaf
307,Cl044475,SRR14373612,0,leaf
308,Cl044474,SRR14373612,0,leaf
309,Cl044473,SRR14373612,0,leaf
310,Cl044472,SRR14373612,0,leaf
311,Cl044471,SRR14373612,8.514185,leaf
312,Cl044470,SRR14373612,0,leaf
313,Cl044469,SRR14373612,5.21667,leaf
314,Cl044468,SRR14373612,0,leaf
315,Cl044467,SRR14373612,0.077069,leaf
316,Cl044466,SRR14373612,0,leaf
317,Cl044465,SRR14373612,0,leaf
318,Cl044464,SRR14373612,0,leaf
319,Cl044463,SRR14373612,0,leaf
320,Cl044462,SRR14373612,0,leaf
321,Cl044461,SRR14373612,0,leaf
322,Cl044460,SRR14373612,0.740969,leaf
323,Cl044459,SRR14373612,0,leaf
